City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
246,Ancud,CL,-41.8697,-73.8203,45.93,81,100,4.23,overcast clouds,0,0
247,Miri,MY,4.4148,114.0089,77.02,90,100,7.38,overcast clouds,0,0
248,Lahan,NP,26.7296,86.4951,80.28,89,100,3.62,moderate rain,1.1,0
249,Faanui,PF,-16.4833,-151.75,78.82,68,83,11.03,broken clouds,0,0
250,Tambopata,PE,-12.7333,-69.1833,80.49,78,0,4.61,clear sky,0,0
251,Tomohon,ID,1.3346,124.8392,65.34,84,100,3.02,overcast clouds,0,0
252,Bada,RU,51.392,109.8717,55.27,94,2,2.3,clear sky,0,0
253,Pershotravneve,UA,51.3929,28.8684,61.99,65,0,5.26,clear sky,0,0
254,Chuy,UY,-33.6971,-53.4616,55.29,70,6,8.19,clear sky,0,0
255,Tete,MZ,-16.1564,33.5867,82.49,39,20,16.11,few clouds,0,0
256,Chokurdakh,RU,70.6333,147.9167,43.77,75,100,19.46,overcast clouds,0,0
257,Da Nang,VN,16.0678,108.2208,84.25,83,40,1.14,scattered clouds,0,0
258,Barentu,ER,15.1139,37.5928,71.31,80,100,7.09,overcast clouds,0,0
259,Valdosta,US,30.8327,-83.2785,93.11,56,40,4.61,scattered clouds,0,0
260,Saurimo,AO,-9.6608,20.3916,70.92,19,3,3.38,clear sky,0,0
261,Morondava,MG,-20.2833,44.2833,73.35,66,0,14.2,clear sky,0,0
262,Guangyuan,CN,32.442,105.823,69.89,89,100,4.38,light rain,0.28,0
263,Baoqing,CN,46.3317,132.2111,61.72,62,83,1.68,moderate rain,1.08,0
264,Kodiak,US,57.79,-152.4072,60.31,48,1,12.66,clear sky,0,0
265,Kismayo,SO,-0.3582,42.5454,76.23,87,10,16.67,clear sky,0,0
266,Buala,SB,-8.145,159.5921,77.9,83,100,4.94,light rain,0.36,0
267,Zhuhai,CN,22.2769,113.5678,85.05,89,40,13.8,scattered clouds,0,0
268,Faya,SA,18.3851,42.4509,68.52,49,90,2.26,overcast clouds,0,0
269,Wenatchee,US,47.4235,-120.3103,94.41,34,90,3.44,haze,0,0
270,Lusaka,ZM,-15.4067,28.2871,64.94,27,0,7.02,clear sky,0,0
271,Cidreira,BR,-30.1811,-50.2056,59.36,84,100,15.05,overcast clouds,0,0
272,Moyale,KE,3.5167,39.0584,77.36,44,100,10.65,overcast clouds,0,0
273,Shelburne,CA,44.0787,-80.2041,82.67,47,63,11.74,broken clouds,0,0
274,Bubaque,GW,11.2833,-15.8333,79.54,81,100,11.07,overcast clouds,0,0
275,Husavik,IS,66.0449,-17.3389,57.27,80,100,7.83,overcast clouds,0,0
276,Vila Velha,BR,-20.3297,-40.2925,76.95,65,0,10.36,clear sky,0,0
277,Scarborough,GB,54.2797,-0.4044,65.79,60,100,1.99,overcast clouds,0,0
278,Bachaquero,VE,9.9694,-71.1494,88.48,62,6,6.87,clear sky,0,0
279,Luderitz,NA,-26.6481,15.1594,64.04,34,0,19.33,clear sky,0,0
280,Esperance,AU,-33.8667,121.9,50.22,50,42,11.12,scattered clouds,0,0
281,Booue,GA,-0.0921,11.9385,78.3,66,72,0.81,broken clouds,0,0
282,Shimoda,JP,34.6667,138.95,78.91,91,100,23.22,overcast clouds,0,0
283,Punta Cardon,VE,11.6581,-70.215,87.46,58,6,21.83,clear sky,0,0
284,Hervey Bay,AU,-25.2986,152.8535,60.04,78,0,5.37,clear sky,0,0
285,Vidim,RU,56.4088,103.1106,56.55,97,57,2.24,broken clouds,0,0
286,Teacapan,MX,22.55,-105.75,87.04,64,100,9.1,overcast clouds,0,0
287,Nome,US,64.5011,-165.4064,44.67,66,90,11.5,overcast clouds,0,0
288,Evensk,RU,61.95,159.2333,49.33,92,100,5.32,overcast clouds,0,0
289,Niquelandia,BR,-14.4739,-48.4597,93.96,14,5,3.29,clear sky,0,0
290,Paamiut,GL,61.994,-49.6678,45.16,90,100,22.01,overcast clouds,0,0
291,Ocean City,US,39.2776,-74.5746,99.25,58,47,10.8,scattered clouds,0,0
292,Koroni,GR,36.8,21.95,87.08,60,4,1.7,clear sky,0,0
293,Half Moon Bay,US,37.4636,-122.4286,87.82,64,20,1.01,few clouds,0,0
294,Eureka,US,40.8021,-124.1637,63.25,74,92,5.99,overcast clouds,0,0
295,Kalaleh,IR,37.3807,55.4916,86.38,30,9,3.15,clear sky,0,0
296,Port Hardy,CA,50.6996,-127.4199,69.33,65,3,1.83,clear sky,0,0
297,Khani,GE,41.9563,42.9566,65.77,99,100,1.32,overcast clouds,0.1,0
298,Dunedin,NZ,-45.8742,170.5036,50.81,48,81,5.01,broken clouds,0,0
299,Vagay,RU,57.9375,69.0217,57.85,76,73,3.2,broken clouds,0,0
300,Coquimbo,CL,-29.9533,-71.3436,56.68,74,4,9.66,clear sky,0,0
301,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,90.01,21,3,3.76,clear sky,0,0
302,Dingle,PH,10.9995,122.6711,76.6,83,65,1.43,broken clouds,0,0
303,Bilibino,RU,68.0546,166.4372,50.74,89,100,3.51,overcast clouds,0,0
304,Tateyama,JP,34.9833,139.8667,78.82,90,100,29.91,moderate rain,2.16,0
305,Spring Valley,US,36.108,-115.245,98.89,32,75,3,broken clouds,0,0
306,Bolotnoye,RU,55.6717,84.3981,50.02,91,100,5.14,overcast clouds,0,0
307,Haines Junction,CA,60.7522,-137.5108,52.9,97,100,2.48,moderate rain,1.92,0
308,East Peoria,US,40.6661,-89.5801,82.99,66,75,1.99,broken clouds,0,0
309,Sassandra,CI,4.95,-6.0833,73.98,83,79,5.68,broken clouds,0,0
310,Nouadhibou,MR,20.931,-17.0347,72.64,81,0,28.5,clear sky,0,0
