City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
256,Caravelas,BR,2021-08-13 02:41:28,-17.7125,-39.2481,68.88,90,14,4.41
257,Kavieng,PG,2021-08-13 02:37:35,-2.5744,150.7967,81.64,78,100,10.29
258,Gat,IL,2021-08-13 02:37:29,31.61,34.7642,78.4,75,0,2.44
259,Saint-Pierre,RE,2021-08-13 02:41:29,-21.3393,55.4781,69.48,66,0,9.22
260,Ushtobe,KZ,2021-08-13 02:41:29,45.2514,77.9838,79.83,30,6,16.22
261,Hofn,IS,2021-08-13 02:37:35,64.2539,-15.2082,53.33,86,100,11.65
262,Beringovskiy,RU,2021-08-13 02:41:30,63.05,179.3167,51.03,74,82,12.66
263,Bodden Town,KY,2021-08-13 02:41:30,19.2833,-81.25,84.2,86,20,4.61
264,Torbay,CA,2021-08-13 02:35:31,47.6666,-52.7314,59.58,85,90,8.05
265,Pacific Grove,US,2021-08-13 02:40:59,36.6177,-121.9166,78.03,85,1,3.0
266,Manggar,ID,2021-08-13 02:41:30,-2.8833,108.2667,76.46,91,100,4.52
267,Ketchikan,US,2021-08-13 02:40:42,55.3422,-131.6461,68.54,77,23,5.14
268,Hasaki,JP,2021-08-13 02:35:53,35.7333,140.8333,73.8,93,100,3.83
269,Panalingaan,PH,2021-08-13 02:41:31,8.7842,117.4231,87.98,59,100,2.04
270,Nguruka,TZ,2021-08-13 02:41:31,-5.1092,31.0419,65.75,55,10,2.04
271,Plettenberg Bay,ZA,2021-08-13 02:36:50,-34.0527,23.3716,50.88,78,83,3.71
272,Vila Do Maio,CV,2021-08-13 02:41:32,15.1333,-23.2167,75.99,80,81,18.37
273,Lamu,KE,2021-08-13 02:41:32,-2.2717,40.902,75.42,87,12,13.24
274,Ekhabi,RU,2021-08-13 02:41:32,53.5102,142.9671,73.22,52,65,9.75
275,Provideniya,RU,2021-08-13 02:36:27,64.3833,-173.3,41.11,75,75,15.66
276,Jiwani,PK,2021-08-13 02:41:33,25.05,61.7417,79.84,80,88,6.46
277,Viedma,AR,2021-08-13 02:41:33,-40.8135,-62.9967,45.43,53,0,13.87
278,Kosa,RU,2021-08-13 02:41:33,59.9445,54.9977,57.9,64,26,7.14
279,Gamba,GA,2021-08-13 02:41:33,-2.65,10.0,72.01,90,52,2.57
280,Brazzaville,CG,2021-08-13 02:41:34,-4.2658,15.2832,70.16,88,6,2.3
281,Isabela,PH,2021-08-13 02:41:34,6.7085,121.9711,85.59,70,71,3.78
282,Dzerzhinsk,RU,2021-08-13 02:41:35,56.2389,43.4631,67.82,88,0,4.47
283,Lucea,JM,2021-08-13 02:41:36,18.451,-78.1736,82.26,79,31,5.46
284,Itarema,BR,2021-08-13 02:36:29,-2.9248,-39.9167,78.55,82,6,14.25
285,Rawson,AR,2021-08-13 02:35:59,-43.3002,-65.1023,51.82,33,0,10.25
286,Almaznyy,RU,2021-08-13 02:41:36,48.0448,40.045,68.14,74,98,7.27
287,Tandil,AR,2021-08-13 02:41:36,-37.3217,-59.1332,35.31,80,0,1.01
288,Broome,US,2021-08-13 02:37:30,42.2506,-75.833,75.67,94,91,2.75
289,Ulladulla,AU,2021-08-13 02:41:37,-35.35,150.4667,65.88,43,0,4.92
290,Portland,US,2021-08-13 02:37:46,45.5234,-122.6762,100.99,38,75,1.01
291,Santa Maria,BR,2021-08-13 02:41:37,-29.6842,-53.8069,51.1,82,90,13.8
292,Namatanai,PG,2021-08-13 02:41:38,-3.6667,152.4333,83.88,71,100,8.93
